Residues ID,SEPA Site,Submitted By,Licence Active at Report,Treatment Name,Active Ingredient,Sample Date,100 m Replicate 1 mg per kg,100 m Replicate 2 mg per kg,100 m Replicate 3 mg per kg,Site Name,Licence Holder,Receiving Water,Easting,Northing,Local Authority,National Grid Reference,Lat ,Long
46438,ERI3,Marine Harvest (Scotland) Ltd,CAR/L/1004085,Slice,Emamectin Benzoate,12-Jul-16,1.29,1.35,1.02,"Erisort, North Shore West",Marine Harvest (Scotland) Ltd,Loch Erisort,139089,922756,Eilean Siar,NB39092276,58.116604,-6.4319483
46445,FFMC21,Scottish Sea Farms Ltd,CAR/L/1008860,Slice,Emamectin Benzoate,30-Jun-16,11.54,11.44,11.31,Spelve A (Balure),Scottish Sea Farms Ltd,Loch Spelve,167675,726641,Argyll and Bute,NM67672664,56.374802,-5.7641766
46437,FFMC57,Scottish Sea Farms Ltd,CAR/L/1003494,Slice,Emamectin Benzoate,24-May-16,1.3,1.16,1.02,Fishnish B,Scottish Sea Farms Ltd,Sound of Mull,165200,742750,Argyll and Bute,NM65204275,56.517994,-5.8185556
46442,FFMC01,Scottish Sea Farms Ltd,CAR/L/1010606,Slice,Emamectin Benzoate,24-May-16,1.24,0.91,0.83,Scallastle Bay,Scottish Sea Farms Ltd,Sound of Mull,168900,739700,Argyll and Bute,NM68903970,56.492484,-5.7558472
47532,CAG1,Marine Harvest (Scotland) Ltd,CAR/L/1009965,Slice,Emamectin Benzoate,15-Feb-16,1.07,0.83,1.27,Camus Glas,Marine Harvest (Scotland) Ltd,Loch Sunart,164550,758950,Highland,NM64555895,56.662881,-5.843829
47536,INV1,Marine Harvest (Scotland) Ltd,CAR/L/1009162,Slice,Emamectin Benzoate,10-Feb-16,1.08,1.03,1.18,Invasion Bay,Marine Harvest (Scotland) Ltd,Loch Sunart,173310,761020,Highland,NM73316102,56.685765,-5.7030449
47624,NEPL1,Grieg Seafood Shetland Ltd,CAR/L/1108670,Slice,Emamectin Benzoate,04-Feb-16,2.08,0.9,1.6,East of Papa Little,Grieg Seafood Shetland Ltd,Swarbacks Minn,434220,1162480,Shetland Islands,HU34226248,60.344913,-1.3818581
47623,OLNA1,Grieg Seafood Shetland Ltd,CAR/L/1004042,Slice,Emamectin Benzoate,04-Feb-16,0.94,1.1,1.31,Olnafirth South (Site 1),Grieg Seafood Shetland Ltd,Olnafirth,437400,1164300,Shetland Islands,HU37406430,60.360973,-1.3239129
47528,SRO1,Marine Harvest (Scotland) Ltd,CAR/L/1002327,Slice,Emamectin Benzoate,04-Feb-16,0.74,2.09,1.13,Sron,Marine Harvest (Scotland) Ltd,Loch Alsh,178400,825350,Highland,NG78402535,57.264926,-5.6765909
47527,SRO1,Marine Harvest (Scotland) Ltd,CAR/L/1002327,Slice,Emamectin Benzoate,04-Feb-16,1.33,1.18,1.48,Sron,Marine Harvest (Scotland) Ltd,Loch Alsh,178400,825350,Highland,NG78402535,57.264926,-5.6765909
47529,DUI1,Marine Harvest (Scotland) Ltd,CAR/L/1010433,Slice,Emamectin Benzoate,03-Feb-16,6.7,4.73,7.47,Duich,Marine Harvest (Scotland) Ltd,Loch Duich,189090,823350,Highland,NG89172320,57.250742,-5.4965442
47517,FFMC34,Marine Harvest (Scotland) Ltd,CAR/L/1000800,Slice,Emamectin Benzoate,18-Jan-16,1.04,0.82,1.08,Poll na Gille,Marine Harvest (Scotland) Ltd,Sound of Jura,177670,708214,Argyll and Bute,NM77670821,56.214355,-5.5870622
47519,FFMC55,Marine Harvest (Scotland) Ltd,CAR/L/1000810,Slice,Emamectin Benzoate,18-Jan-16,2.73,3.36,3.04,Port na Cro,Marine Harvest (Scotland) Ltd,Shuna Sound,176100,709400,Argyll and Bute,NM76100940,56.224289,-5.6133299
47515,AAC3,Scottish Sea Farms Ltd,CAR/L/1004062,Slice,Emamectin Benzoate,08-Jan-16,0.77,0.92,0.95,Allt a Chois (Kishorn North Shore),Scottish Sea Farms Ltd,Loch Kishorn,179250,837950,Highland,NG79253795,57.378288,-5.6737951
47613,MAOB1,Marine Harvest (Scotland) Ltd,CAR/L/1009643,Slice,Emamectin Benzoate,02-Dec-15,1.33,1.79,1.16,Maol Ban,Marine Harvest (Scotland) Ltd,Inner Sound,156400,830800,Highland,NG56403080,57.302574,-6.0458082
47610,FFMC33,Kames Fish Farming Ltd,CAR/L/1000801,Slice,Emamectin Benzoate,30-Nov-15,1.34,1.31,1.39,Shuna Castle Bay,Kames Fish Farming Ltd,Sound of Jura,177407,709600,Argyll and Bute,NM77410960,56.226697,-5.5924132
47556,CLI4,Grieg Seafood Shetland Ltd,CAR/L/1002983,Slice,Emamectin Benzoate,27-Aug-15,1.36,1.26,1.24,North of Papa,Grieg Seafood Shetland Ltd,The Deeps,436600,1138380,Shetland Islands,HU36603838,60.128334,-1.3430869
47599,KING1,Marine Harvest (Scotland) Ltd,CAR/L/1003887,Slice,Emamectin Benzoate,13-Aug-15,1.3,1.12,1.18,Kingairloch (Loch a Choire),Marine Harvest (Scotland) Ltd,Loch Linnhe,185200,752300,Highland,NM85205230,56.613188,-5.5020619
47552,FFMC04N,Marine Harvest (Scotland) Ltd,CAR/L/1020918,Slice,Emamectin Benzoate,04-Aug-15,1.92,1.74,1.84,Port na Moine Site 2 (North),Marine Harvest (Scotland) Ltd,Loch Craignish,180530,701470,Argyll and Bute,NM80530147,56.155243,-5.5354713
47593,BRO1,Wester Ross Fisheries Ltd,CAR/L/1001809,Slice,Emamectin Benzoate,22-Jul-15,1.26,1.22,1.52,"Corry, Loch Broom",Wester Ross Fisheries Ltd,Loch Broom,215638,890200,Highland,NH15649020,57.863126,-5.1093685
47586,ARDG1,Marine Harvest (Scotland) Ltd,CAR/L/1009970,Slice,Emamectin Benzoate,01-Jul-15,1.11,0.76,0.84,Ardgour (Linnhe),Marine Harvest (Scotland) Ltd,Loch Linnhe,201386,764579,Highland,NN01396458,56.730472,-5.2481955
47585,GORS1,Marine Harvest (Scotland) Ltd,CAR/L/1009968,Slice,Emamectin Benzoate,30-Jun-15,2.03,1.49,1.78,Gorsten,Marine Harvest (Scotland) Ltd,Loch Linnhe,206000,770600,Highland,NN06007060,56.786409,-5.1775323
47577,ELGN1,Marine Harvest (Scotland) Ltd,CAR/L/1078064,Slice,Emamectin Benzoate,29-May-15,1.04,1.14,0.83,Carradale (South),Marine Harvest (Scotland) Ltd,Kilbrannan Sound,181644,640861,Argyll and Bute,NR81664093,55.61283,-5.4684961
47576,ELGN1,Marine Harvest (Scotland) Ltd,CAR/L/1078064,Slice,Emamectin Benzoate,29-May-15,1.33,1.99,1.59,Carradale (South),Marine Harvest (Scotland) Ltd,Kilbrannan Sound,181644,640861,Argyll and Bute,NR81664093,55.61283,-5.4684961
46778,ELR1,Marine Harvest (Scotland) Ltd,CAR/L/1099410,Slice,Emamectin Benzoate,26-Feb-15,1.76,1.19,2.33,Eilean Raineach,Marine Harvest (Scotland) Ltd,East Loch Tarbert,119640,897490,Eilean Siar,NG19649749,57.878525,-6.7309593
46723,COLL3,Hjaltland Seafarms Ltd,CAR/L/1004055,Slice,Emamectin Benzoate,19-Jan-15,0.96,0.9,0.65,Collafirth Delting Site 3,Grieg Seafood Shetland Ltd,Colla Firth,445500,1170400,Shetland Islands,HU45507040,60.414909,-1.1757274
46642,CAG1,Marine Harvest (Scotland) Ltd,CAR/L/1009965,Slice,Emamectin Benzoate,03-Dec-14,0.78,1.03,1.07,Camus Glas,Marine Harvest (Scotland) Ltd,Loch Sunart,164550,758950,Highland,NM64555895,56.662881,-5.843829
46745,DUI1,Marine Harvest (Scotland) Ltd,CAR/L/1010433,Slice,Emamectin Benzoate,18-Nov-14,3.64,2.82,3.28,Duich,Marine Harvest (Scotland) Ltd,Loch Duich,189090,823350,Highland,NG89172320,57.250742,-5.4965442
47041,GCD1,Marine Harvest (Scotland) Ltd,CAR/L/1009972,Slice,Emamectin Benzoate,13-Nov-14,0.84,1.07,1.23,Glencripesdale,Marine Harvest (Scotland) Ltd,Loch Sunart,167600,760700,Highland,NM67606070,56.680093,-5.7957609
47133,INV1,Marine Harvest (Scotland) Ltd,CAR/L/1009162,Slice,Emamectin Benzoate,13-Nov-14,1.84,1.7,1.66,Invasion Bay,Marine Harvest (Scotland) Ltd,Loch Sunart,173310,761020,Highland,NM73316102,56.685765,-5.7030449
47330,SEA5,Marine Harvest (Scotland) Ltd,CAR/L/1009963,Slice,Emamectin Benzoate,10-Nov-14,3.19,2.66,2.07,Seaforth,Marine Harvest (Scotland) Ltd,Loch Seaforth,123080,902960,Eilean Siar,NB23080296,57.929638,-6.6795285
47202,MAOB1,Marine Harvest (Scotland) Ltd,CAR/L/1009643,Slice,Emamectin Benzoate,07-Nov-14,1.04,1.37,1.26,Maol Ban,Marine Harvest (Scotland) Ltd,Inner Sound,156400,830800,Highland,NG56403080,57.302574,-6.0458082
46583,BALM1,Marine Harvest (Scotland) Ltd,CAR/L/1002346,Slice,Emamectin Benzoate,07-Nov-14,1.07,1.17,1.14,"Sconser, Balmeanach Bay",Marine Harvest (Scotland) Ltd,Sound of Raasay,153100,834000,Highland,NG53103400,57.329473,-6.1036336
